Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
1997,8,1,0,"H1","TOTAL",1,,,629026304,0
1997,8,2,0,"H1","TOTAL",1,,,137681008,0
1997,8,1,12,"H1","TOTAL",1,,,214420,0
1997,8,1,20,"H1","TOTAL",1,,,14587,0
1997,8,1,36,"H1","TOTAL",1,,,472500,0
1997,8,1,40,"H1","TOTAL",1,,,10281457,0
1997,8,2,40,"H1","TOTAL",1,,,2022650,0
1997,8,1,58,"H1","TOTAL",1,,,6760553,0
1997,8,2,58,"H1","TOTAL",1,,,656268,0
1997,8,1,64,"H1","TOTAL",1,,,547,0
1997,8,1,70,"H1","TOTAL",1,,,5842,0
1997,8,1,100,"H1","TOTAL",1,,,16647213,0
1997,8,2,100,"H1","TOTAL",1,,,24536,0
1997,8,1,124,"H1","TOTAL",1,,,543740,0
1997,8,2,124,"H1","TOTAL",1,,,22199,0
1997,8,1,152,"H1","TOTAL",1,,,5631,0
1997,8,1,156,"H1","TOTAL",1,,,668435,0
1997,8,1,188,"H1","TOTAL",1,,,11130,0
1997,8,1,191,"H1","TOTAL",1,,,2770286,0
1997,8,2,191,"H1","TOTAL",1,,,5780022,0
1997,8,1,196,"H1","TOTAL",1,,,2273075,0
1997,8,1,203,"H1","TOTAL",1,,,1978084,0
1997,8,2,203,"H1","TOTAL",1,,,199125,0
1997,8,1,208,"H1","TOTAL",1,,,3944291,0
1997,8,2,208,"H1","TOTAL",1,,,432357,0
1997,8,1,218,"H1","TOTAL",1,,,8684,0
1997,8,1,233,"H1","TOTAL",1,,,1489,0
1997,8,1,246,"H1","TOTAL",1,,,12825,0
1997,8,1,251,"H1","TOTAL",1,,,7815503,0
1997,8,2,251,"H1","TOTAL",1,,,2635949,0
1997,8,1,268,"H1","TOTAL",1,,,1723,0
1997,8,1,276,"H1","TOTAL",1,,,26883570,0
1997,8,2,276,"H1","TOTAL",1,,,9431336,0
1997,8,1,300,"H1","TOTAL",1,,,163767328,0
1997,8,2,300,"H1","TOTAL",1,,,28173420,0
1997,8,1,324,"H1","TOTAL",1,,,740,0
1997,8,1,332,"H1","TOTAL",1,,,1420,0
1997,8,1,344,"H1","TOTAL",1,,,199484,0
1997,8,1,348,"H1","TOTAL",1,,,6470278,0
1997,8,2,348,"H1","TOTAL",1,,,261245,0
1997,8,1,364,"H1","TOTAL",1,,,33055,0
1997,8,1,372,"H1","TOTAL",1,,,564099,0
1997,8,2,372,"H1","TOTAL",1,,,434714,0
1997,8,1,376,"H1","TOTAL",1,,,677,0
1997,8,2,376,"H1","TOTAL",1,,,3528,0
1997,8,1,381,"H1","TOTAL",1,,,288339104,0
1997,8,2,381,"H1","TOTAL",1,,,68034600,0
1997,8,1,392,"H1","TOTAL",1,,,208804,0
1997,8,2,392,"H1","TOTAL",1,,,74911,0
1997,8,1,400,"H1","TOTAL",1,,,26404,0
1997,8,2,400,"H1","TOTAL",1,,,10762,0
1997,8,1,408,"H1","TOTAL",1,,,35341,0
1997,8,1,410,"H1","TOTAL",1,,,25151,0
1997,8,1,422,"H1","TOTAL",1,,,326722,0
1997,8,2,422,"H1","TOTAL",1,,,3006,0
1997,8,1,458,"H1","TOTAL",1,,,44453,0
1997,8,1,470,"H1","TOTAL",1,,,1531193,0
1997,8,2,470,"H1","TOTAL",1,,,596498,0
1997,8,1,490,"H1","TOTAL",1,,,1995,0
1997,8,1,498,"H1","TOTAL",1,,,454823,0
1997,8,1,528,"H1","TOTAL",1,,,4997615,0
1997,8,2,528,"H1","TOTAL",1,,,7640275,0
1997,8,1,530,"H1","TOTAL",1,,,43275,0
1997,8,1,554,"H1","TOTAL",1,,,84114,0
1997,8,2,554,"H1","TOTAL",1,,,2279,0
1997,8,1,566,"H1","TOTAL",1,,,5116,0
1997,8,1,579,"H1","TOTAL",1,,,212108,0
1997,8,1,586,"H1","TOTAL",1,,,11885,0
1997,8,1,616,"H1","TOTAL",1,,,380760,0
1997,8,2,616,"H1","TOTAL",1,,,339767,0
1997,8,1,620,"H1","TOTAL",1,,,37947,0
1997,8,2,620,"H1","TOTAL",1,,,8243,0
1997,8,1,642,"H1","TOTAL",1,,,1850297,0
1997,8,2,642,"H1","TOTAL",1,,,49745,0
1997,8,1,643,"H1","TOTAL",1,,,420566,0
1997,8,2,643,"H1","TOTAL",1,,,6142,0
1997,8,1,682,"H1","TOTAL",1,,,3273,0
1997,8,2,682,"H1","TOTAL",1,,,707,0
1997,8,1,694,"H1","TOTAL",1,,,1716,0
1997,8,1,699,"H1","TOTAL",1,,,95677,0
1997,8,1,705,"H1","TOTAL",1,,,9443633,0
1997,8,2,705,"H1","TOTAL",1,,,1720848,0
1997,8,1,711,"H1","TOTAL",1,,,6559,0
1997,8,1,724,"H1","TOTAL",1,,,4195343,0
1997,8,2,724,"H1","TOTAL",1,,,2006,0
1997,8,1,752,"H1","TOTAL",1,,,134439,0
1997,8,2,752,"H1","TOTAL",1,,,802673,0
1997,8,1,757,"H1","TOTAL",1,,,10065879,0
1997,8,2,757,"H1","TOTAL",1,,,615390,0
1997,8,1,760,"H1","TOTAL",1,,,165920,0
1997,8,1,784,"H1","TOTAL",1,,,6251,0
1997,8,1,788,"H1","TOTAL",1,,,154166,0
1997,8,1,792,"H1","TOTAL",1,,,27447246,0
1997,8,2,792,"H1","TOTAL",1,,,1273172,0
1997,8,1,798,"H1","TOTAL",1,,,23756,0
1997,8,1,804,"H1","TOTAL",1,,,2511155,0
1997,8,1,807,"H1","TOTAL",1,,,12835063,0
1997,8,2,807,"H1","TOTAL",1,,,3629554,0
1997,8,1,818,"H1","TOTAL",1,,,1249184,0
1997,8,2,818,"H1","TOTAL",1,,,6813,0
1997,8,1,826,"H1","TOTAL",1,,,6504510,0
1997,8,2,826,"H1","TOTAL",1,,,125598,0
1997,8,1,842,"H1","TOTAL",1,,,1325157,0
1997,8,2,842,"H1","TOTAL",1,,,2013894,0
1997,8,1,849,"H1","TOTAL",1,,,906,0
1997,8,1,858,"H1","TOTAL",1,,,45761,0
1997,8,2,862,"H1","TOTAL",1,,,84957,0
1997,8,1,891,"H1","TOTAL",1,,,931146,0
1997,8,2,891,"H1","TOTAL",1,,,533303,0
1997,8,1,899,"H1","TOTAL",1,,,489245,0
1997,8,2,899,"H1","TOTAL",1,,,28521,0
1997,12,1,0,"H1","TOTAL",1,,,8688356352,0
1997,12,2,0,"H1","TOTAL",1,,,13894123520,0
1997,12,1,4,"H1","TOTAL",1,,,213595,0
1997,12,1,8,"H1","TOTAL",1,,,20357,0
1997,12,1,20,"H1","TOTAL",1,,,1738705,0
1997,12,1,24,"H1","TOTAL",1,,,109680,0
1997,12,2,24,"H1","TOTAL",1,,,6097,0
1997,12,1,32,"H1","TOTAL",1,,,52870664,0
1997,12,2,32,"H1","TOTAL",1,,,18870516,0
1997,12,1,36,"H1","TOTAL",1,,,18748644,0
1997,12,1,40,"H1","TOTAL",1,,,90708112,0
1997,12,2,40,"H1","TOTAL",1,,,185250512,0
1997,12,2,44,"H1","TOTAL",1,,,287313,0
1997,12,1,48,"H1","TOTAL",1,,,5255942,0
1997,12,2,48,"H1","TOTAL",1,,,16277,0
1997,12,1,50,"H1","TOTAL",1,,,41168,0
1997,12,2,50,"H1","TOTAL",1,,,668907,0
1997,12,1,58,"H1","TOTAL",1,,,228723296,0
1997,12,2,58,"H1","TOTAL",1,,,504120224,0
1997,12,1,64,"H1","TOTAL",1,,,5823,0
1997,12,1,76,"H1","TOTAL",1,,,87077552,0
1997,12,2,76,"H1","TOTAL",1,,,746621888,0
