Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
1996,8,1,0,"H1","TOTAL",1,,,938481792,0
1996,8,2,0,"H1","TOTAL",1,,,211140400,0
1996,8,2,24,"H1","TOTAL",1,,,19948,0
1996,8,1,32,"H1","TOTAL",1,,,3981,0
1996,8,1,36,"H1","TOTAL",1,,,19371,0
1996,8,2,36,"H1","TOTAL",1,,,25535,0
1996,8,1,40,"H1","TOTAL",1,,,10364279,0
1996,8,2,40,"H1","TOTAL",1,,,2320147,0
1996,8,1,48,"H1","TOTAL",1,,,17215,0
1996,8,1,58,"H1","TOTAL",1,,,22483240,0
1996,8,2,58,"H1","TOTAL",1,,,2832870,0
1996,8,1,76,"H1","TOTAL",1,,,5063217,0
1996,8,2,76,"H1","TOTAL",1,,,265729,0
1996,8,1,100,"H1","TOTAL",1,,,35542644,0
1996,8,2,100,"H1","TOTAL",1,,,41063,0
1996,8,1,124,"H1","TOTAL",1,,,303558,0
1996,8,2,124,"H1","TOTAL",1,,,8721,0
1996,8,1,144,"H1","TOTAL",1,,,430208,0
1996,8,1,156,"H1","TOTAL",1,,,1352591,0
1996,8,1,170,"H1","TOTAL",1,,,50447,0
1996,8,1,191,"H1","TOTAL",1,,,13278257,0
1996,8,2,191,"H1","TOTAL",1,,,1436363,0
1996,8,1,196,"H1","TOTAL",1,,,2585132,0
1996,8,2,196,"H1","TOTAL",1,,,12123,0
1996,8,1,203,"H1","TOTAL",1,,,4502002,0
1996,8,2,203,"H1","TOTAL",1,,,346026,0
1996,8,1,208,"H1","TOTAL",1,,,5303307,0
1996,8,2,208,"H1","TOTAL",1,,,558289,0
1996,8,1,212,"H1","TOTAL",1,,,31458,0
1996,8,1,218,"H1","TOTAL",1,,,8677,0
1996,8,1,233,"H1","TOTAL",1,,,16608,0
1996,8,1,246,"H1","TOTAL",1,,,266339,0
1996,8,1,251,"H1","TOTAL",1,,,25579264,0
1996,8,2,251,"H1","TOTAL",1,,,4265796,0
1996,8,1,268,"H1","TOTAL",1,,,23928,0
1996,8,1,276,"H1","TOTAL",1,,,54581476,0
1996,8,2,276,"H1","TOTAL",1,,,14628010,0
1996,8,1,300,"H1","TOTAL",1,,,190459008,0
1996,8,2,300,"H1","TOTAL",1,,,27429146,0
1996,8,1,344,"H1","TOTAL",1,,,9850,0
1996,8,1,348,"H1","TOTAL",1,,,7165169,0
1996,8,2,348,"H1","TOTAL",1,,,261894,0
1996,8,1,352,"H1","TOTAL",1,,,8266,0
1996,8,1,364,"H1","TOTAL",1,,,506481,0
1996,8,2,364,"H1","TOTAL",1,,,73891,0
1996,8,1,372,"H1","TOTAL",1,,,452950,0
1996,8,2,372,"H1","TOTAL",1,,,6036,0
1996,8,1,376,"H1","TOTAL",1,,,75446,0
1996,8,1,381,"H1","TOTAL",1,,,378164864,0
1996,8,2,381,"H1","TOTAL",1,,,122126544,0
1996,8,1,392,"H1","TOTAL",1,,,578913,0
1996,8,2,392,"H1","TOTAL",1,,,588951,0
1996,8,1,400,"H1","TOTAL",1,,,177449,0
1996,8,1,408,"H1","TOTAL",1,,,83438,0
1996,8,1,410,"H1","TOTAL",1,,,30193,0
1996,8,1,414,"H1","TOTAL",1,,,89543,0
1996,8,1,422,"H1","TOTAL",1,,,207927,0
1996,8,1,430,"H1","TOTAL",1,,,4751,0
1996,8,1,440,"H1","TOTAL",1,,,26389,0
1996,8,1,462,"H1","TOTAL",1,,,14826,0
1996,8,1,466,"H1","TOTAL",1,,,9774,0
1996,8,1,470,"H1","TOTAL",1,,,26586,0
1996,8,2,470,"H1","TOTAL",1,,,208589,0
1996,8,1,490,"H1","TOTAL",1,,,651569,0
